description,jobflag
"Review requirements, specifications and technical design documents to provide timely and meaningful feedback",2
"Integral leader within the Advanced Analytics Center of Excellence; working with stakeholders from your division to develop new analytics solutions, identify new data useful for analytics projects, and support analytics best practices.",0
"Implement all the above in a way that is scalable, enterprise-quality and integrated with other software systems",0
"Participate in projects as a member of an Agile/Scrum team including project estimation, task creation and driving to complete tasks in each sprint in a timely manner.",2
Manage communications in partnership with the Director Adherence / Co-pay Analytics and Adherence Strategy & Operations colleagues to key stakeholders inside the organization as it relates to adherence analytics,0
Social: We need someone who knows how to work in and out of organizational boundaries and is not difficult to work with. You will need to positively work through situations of healthy conflict when they occur.,2
Document support issues in the company CRM and report to relevant area,3
Build out automation and orchestration for the high available containerized backend,2
"Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of Google data structures and metrics, advocating for changes for product development and sales activity.",0
Analyze and understand data sources & APIs Design and Develop methods to connect & collect data from different data sources.,1
"Develop, debug and create solutions using .C#, .NET framework, Java, etc.",2
Key Contact point for PCT in Qualcomm,2
"Inspection, alignment/calibration, testing and commissioning of fire and gas detection devices and configured systems",2
"The applicant must be able to review system and subsystem specifications and interface documentation for completeness, accuracy, and applicability.",2
"Working in a cohesive, small team environment",2
"Program SQL views, stored procedures, and functions",2
Lead customer workshops and document Business Process Designs,3
Planning and carrying out of commissioning,2
"Lead the application of AI and machine-learning tools to the media planning and buying process and develop new proprietary tools, prioritizing IP ownership.",0
Maintain personal productivity in a matrixed work environment,3
Guide creative solutions to challenging scientific questions from early proof-of-concept stages to production deployments,0
Perform strategic organizational and process assessments and compare them against current state with benchmark and assessment tools.,2
Contribute to algorithm development in the areas of decision making with the emphasis on integration with relevant modules such as perception,2
"Work with software languages which will include node.js, Go, Java, PHP, Ruby and COTS based application distributions",3
Mine and analyze raw data to drive optimization and improvement of R&D solutions.,0
"Most leads provided by lead development team, but must also be willing to utilize software tools provided to hunt new leads.",3
"Define and unify development pipeline, build process, testing and deployment strategies across diverse software and firmware development teams",2
"Identify and implement TTPs (Tactics, Techniques, and Procedures) to manage security risks.",3
Application support across various enterprise and custom in-house application suites acting as a liaison between business and technical departments.,2
"Accountable for continuous delivery of technology solutions, leveraging Agile and DevOps principles",2
Support subject-matter experts within S&V and MBD (FEA & Vibro-Acoustic modeling) discipline.,2
"Effectively communicate and collaborate with local and international teams, including Technical Support, Quality Assurance, Product Management, and end users as may be necessary",2
"Participates, as needed, in conducting wide range of IT run the business activities, including but not limited to establishing and maintaining servers, network, telecommunications, SAN administration, virtualization, cloud computing, backup/recovery and Service Desk support.",2
"Provide technical leadership for the application and development of simulation, material testing, and experimental capabilities within the BDX R&D community. Recommend and implement the application of appropriate technologies to meet team objectives.",2
Perform medium to high speed circuit design and validation,2
Adhere to the Company's Quality and Business Processes in order to follow,3
"Tracking of project issues, action items and resolutions",3
Assessing industrial workstations using proven analysis and solutions methods.,3
Build custom predictive models and machine-learning algorithms to optimize business outcomes,0
Operationalize and automate well defined data products independently.,3
Optimize the Python code to reduce the runtime.,0
Keep current with the latest trends and technologies to anticipate future development needs and requirements,1
"Assist with the full project lifecycle including requirements gathering, functional design, installation, user acceptance testing, issue resolution and production implementation",3
Introduce customers to Service Department personnel to emphasize to them the quality and efficiency of service repairs and maintenance available in our expert service department.,3
Develop replicable analyses and a reusable code base for understanding and enhancing search performance.,0
Understand funding processes and collaborate effectively with funders,3
Additional duties as requested.,2
"Expertise in extracting technical requirements from vague starting points, and openness to feedback",0
Knowledge and experience of complex software design for distributed systems in embedded networking/telecommunications projects.,2
"Build, develop and test detailed functional designs for business solution components and prototypes.",3
"Work on rich, high-quality training data set creation, augmenting and annotation",1
Writes automated tests and test apps,2
Apply a range of data science techniques and tools to solve difficult business problems,0
Contribute to test automation initiatives including building test tools to improve code quality and application performance,2
Appropriately escalates issues requiring resolution.,3
"Train both end user and Business Partners on Alcatel-Lucent Enterprise wired network (L2/L3), wireless LAN, and NMS equipment being installed or maintained.",2
"Lead a small team that combines a general knowledge of multiple technology areas with knowledge of the targeted business function. Team will dene and document the business requirements, including pre-project definition, scoping, and prioritization of solutions aligned to desired business and technology strategies.",3
New Hardware & Software products pre-release testing.,2
"Remains flexible and responsive to changing priorities and multiple, concurrent responsibilities.",2
Communicating key insights and findings to the product team.,3
Interpret 2D and 3D engineering drawings as well as FAI and Cpk statistical process capability analysis.,2
Develop and analyze automated tests,2
Identify technical solutions that can be rapidly developed and deployed in a robust manner,2
"Drive engineering best practices across the data team, including code reviews, testing and reproducibility",1
Follow industry best practices for software development activities,2
"Responsible for understanding business and technical problems addressed by the products including key regulations, business drivers, evolving business needs, security etc.;",3
Establish working relationships with all the productized SCRUM teams and key team members and across the IT organization as appropriate,2
Develop sophisticated visualization of analysis output for business users.,0
"Contribute to strategic, financial, and resource planning",2
Collaborate closely with software development colleagues to resolve issues and make improvements,2
"Architect, Design, Develop & Implement innovative software solutions related to the modern software development practices, DevOps and Agile Transformation of the enterprise.",3
"Coordinate with cross-functional teams to implement models, monitor outcomes, and make enhancements.",0
Review contractor submittals for compliance and provide approval and/or guidance to the government,2
Enhance data collection procedures to include information that is relevant for building analytic systems,0
"Support management of software defined infrastructure environment, configuration and build scripts for production environment.",2
Drive documentation writing with cross-functional teams,1
Ability to work in a collaborative and team environment,1
"Design, test, and modify geospatial big-data processing algorithms and enable implementation in either Python or Java suitable for a cloud-based architecture using Spark, Elastic Search and/or Hadoop",0
Write and maintain software design document. UML experience is a plus.,2
Develop subject matter expertise on source systems data and metadata,0
"Ensuring the stability, integrity and efficient operation of the firm technology infrastructure through the appropriate operation of technologies.",2
Generate and maintain detailed technical documents as required during the course of product development.,2
Document and communicate status of projects and initiatives to senior team members,0
Manages own personal and professional development; seeks opportunities for professional growth and expansion of consulting skills and experiences,3
"Lead key projects, and be viewed as, a strategic thought partner to the BU, looking beyond immediate needs and anticipating mid- to long-term needs that are likely to impact business decisions.",0
Allocates and manages test resources according to varying needs of different product teams,2
Improvement of existing Deep Learning software and creation of novel software tools for high performance GPU computing infrastructure,1
"Design and build systems which improve machine learning scalability, usability, and performance.",1
"Develop end-to-end from data acquisition to production, data pipelines and predictive/prescriptive models on large-scale data sets (structured and unstructured) to address various business problems; develop deep-dive analysis and machine learning models to drive member value and partner success",0
"Design, develop and program methods, processes, and systems to consolidate and analyze diverse ""big data"" sources to generate actionable insights",0
"Ability to adapt to new languages, methodologies, and platforms to meet the needs of the project.",2
"Proactively manage the growth, training, structure and capabilities of assigned development teams. Mentor engineers on design, development, and best practice concepts, and develop PrismHR s next generation of technology leaders.",2
The candidate will be contributing to build L3 Autonomous driving vehicle.,2
"Develop new consulting business opportunities with leading corporates in the food, beverage, cosmetic, textile and retail sectors and closely collaborate with the Key Account Management Team",3
Extend Agency Spotter API for,2
Coach and grow BOARD competences across the team and lead Consultants and Associate Consultants in project deliveries,3
Assist in coordination of specification review meetings to develop or confirm scope of work including exceptions and clarifications.,2
"take the lead on developing solutions refine work that you and other members of your team will execute on, and be able to break down and organize the work appropriately",1
Provide and own application support in assigned areas.,3
Works safely  especially as it relates to radiation safety.,2
"Perform basic analysis, development, testing, debugging, configuration, incident investigation, documentation, health monitoring/alerting, and implementing based on and related to user or system design specifications.",2
Develop testing procedures or routines to support new product development and enhancements,2
Define cybersecurity strategies for various product types,2
"Provide telephone/remote and on-site troubleshooting, training and support to end users and decision makes",2
Gaining referrals from current customers and participating in marketing demand generation initiatives,3
Create innovative solutions to meet the technical needs of customers.,1
Understands the software development life cycle and processes using model based development,2
Design and implement feedback loop protocols for continual model updates and improvements,1
Guide and mentor junior engineers. Serve as team lead if appropriate.,1
Create Strategy for Analyzing and leading the ML algorithms to solve a given problem and ranking them by their success probability,1
Develop and unit test applications in accordance with established standards,2
"Select features, build, and optimize classifiers using machine learning techniques",0
Translate customer needs and technology directions into development tasks,2
Performs tests and experiments in accordance with the requirements of Good Manufacturing Practices (GMP) and Good Laboratory Practices (GLP).,2
Collaborate across departments to understand business objectives and identify novel data-opportunities,0
Explore root cause for various issues identified in the data,0
Integrate third party application with existing environment.,2
Work with testing teams to ensure knowledge of software timing and availability,2
"Data Analyzer: strong problem-solving skills and hands-on coding skills with SQL, python,",0
"Collaborate with business stakeholders, business operations, and product engineering teams in analyzing business problems, building and testing solutions and data models, and implementing the algorithms and results of the models",1
Provide leadership and tactical expertise in the implementation and maintenance of company's business systems and resources to drive operational efficiencies and ensuring that business and regulatory requirements are met,3
"Assists in the resolution of billing, claims, or collection issues.",3
Must work overtime and weekends when needed,2
"Support Business Development, Project Management and DRT Customer Base",2
"Create a system for maintenance of all site required documentation related to HSE issues, i.e. accident reports, inspection reports, training logs",3
Monthly project status reports and change orders.,2
"Collaborate with product owners to translate business requirements into well-formed, actionable user stories and designs.",2
Identify opportunities for efficiencies in work process and innovative approaches to completing scope of work,3
Respond to degraded systems performance and troubleshoot system and network problems in a systematic manner.,2
"Coordinate with device development teams, parking vendors and customers to achieve and delivery solutions.",3
"Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,",0
"Desire to build proof-of-principle prototypes by ""getting your hands dirty"" and using basic machining equipment, hand-held tools, and creative unconventional techniques.",2
Represent GSK externally to advance technical capability across the Industry,1
"Architect, Develop & Implement innovative software solutions.",2
Build end-to-end algorithmic solutions that focus on improving the customer's experience both in-store and on our website.,0
Build prototypes to evaluate the effectiveness of technologies,1
Ensures the appropriate adherence to inter-departmental processes and procedures within the testing team.,2
"Provide input into design of adherence programs across brands by modeling impact of various options and design approaches, for example financial and behavioral segment impacts. Create and maintain knowledge library",0
Provide advanced manufacturing process analyses as well as numerical modeling and optimization where applicable in support of product development applications for BD business units.,2
Create automation to ensure quality.,2
Develop efficient feature capabilities to support proper data extraction & curation for analytical purposes,1
Assist with training and makes recommendations to end users on hardware and software applications.,3
Champion and lead the development of cross-organizational dashboards,0
"Performing software analysis, design and development according to existing coding standards and guidelines",2
"Outage response, high-level systems analysis, evaluation, documentation, and implementation requiring a thorough knowledge of administrative and technical skills related to the IEN/VoIP platform",2
"Working knowledge of ADAS/AD features: AEB, Lane Centering, ACC, Lane Line detection.",2
"Develop and enhance software tools, simulators, and interfaces;",2
Participate in business process management group efforts to collect and analyze metrics and continually improve processes owned by the group.,3
Contribute to and promote good software engineering practices across the team,1
"Analyze highly complex business requirements, design and write technical specifications to design or redesign complex applications",1
Flexibility of working across all functions/levels as part of a team.,0
"Facilitate Defect Triage meetings and manage the Issue Analysis process  Conduct key formal peer reviews, collect key metrics to facilitate a learning organization  Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements",2
"Participate in formal software inspection processes, customer meetings, and user events",2
"Designing systems to monitor the results of models in productions, discover and address anomalies, and ensure the robustness and reliability of these models",0
"Work through all phases of the software development life cycle, including research, design, analysis, requirements, implementation, test automation, and maintenance.",2
Determine necessary data sets and translate data into viable insights and business recommendations,0
"Design, develop, test, deploy, maintain, and enhance software solutions.",2
"Work in an Agile software development environment; attend and contribute to scrum, planning and retrospect meetings",2
"Generate cost experience and reconciliation reports including DONIBIS, SSR, and custom reports, as needed.",3
"Testing of ML models, such as cross-validation, A/B testing, bias and fairness",0
"Coordinate with engineering and maintenance on existing machine control modifications to robotic, electrical, electronic, pneumatic and vision systems",2
"Develop & execute comprehensive project plans, leveraging creativity & tenacity to solve tough problems & drive program success.",3
"Develop value propositions, identifying new business opportunities for data",0
Provide technical guidance to junior team members.,2
Provide technical and clinical expertise on Impulse Dynamics products while remaining educated on current industry trends and relevant competitive devices.,3
"Mentoring of junior team members around code style, requirements, and delivery",2
Write requirements for additional data collection through a mobile application,0
Build high-quality software that meets design specifications.,2
"Build collaborative relationships with key leaders and peers across the organization (i.e. Team Leaders, CoEs) to ensure the best use of overall resources.",2
Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.,2
Utilize dealership control and follow-up system and procedures,3
"Consultant provides reports of findings, analysis and recommendations for short, medium and long-term actions. The findings may be presented at one time or periodically at project milestones.",3
Provide technical and project leadership to other staff members,2
"Setup and test in multiple test environments comprising various OS and Browser versions, different mobile devices, and on the cloud",2
"Design and develop new machine controls including robotic, electrical, electronic, pneumatic and vision systems",2
"Verifying data quality, and/or ensuring it via data cleaning",1
Lay the groundwork hypothesize as an individual researcher and in collaboration with other team members on how to solve complex intelligence problems.,0
"Build and expand upon a broad array of data science models that predict event classification and revenue predictions, compute optimal auction pricing, and optimize internal operations (lead scoring)",0
Performs complex data modeling studies for senior management and develops detailed data models.,3
"Analyzes and designs data models, logical data bases and relational data base definitions.",3
Working with the customer facing team of Qualcomm to work on Approved test case issues,2
"Responsible for building and maintaining strategic partnerships with DH&A leadership, as well as having accountability for all technology delivery for the DH&A through direct engagement of delivery teams or partnership with other parts of Humanas IT organization.",3
Support the Category Management department in executing Merchandise Planning functions to produce Best in Class planograms for our retail partners.,3
"Assessing restructuring operating models, organizational structures, and business processes to streamline real estate and facilities management service delivery",3
Apply expert software development skills to a wide range of ML-related coding projects,1
Attend all meetings necessary for the seamless delivery of the product as part of the Software Development Life Cycle,2
"Using the details regarding an employee separation provided by the client, interpret and apply state laws and regulations in response to unemployment documents.",3
"Support team in building approach (e.g., systems, personnel, processes) for end-to-end data services.",0
Act as a Subject Matter Expert (SME) for front-end development.,2
Produce innovative solutions driven by exploratory data analysis from complex and highly dimensional datasets,0
"Develops data pipelines that are scalable, repeatable and secure.",2
"Develop, test, and debug application source code",2
Actively ensure all field personnel comply with safe work practices in accordance with EH&S standards,2
Developing and managing sales related projects,3
Prepare and submit paperwork according to established time frames and guidelines meeting agency and funding requirements,3
Maintains a working knowledge of applications and system integration and is able to understand changes in order to anticipate cross-system or cross-process impacts.,2
"Create detailed documentation for digital prototypes, custom solutions and products and assist in customer and partner implementations",2
Provide technical guidance to ensure alignment with Engineering architectural vision and best practices,2
Provide Statistical Genetics subject matter expertise and analysis solutions to inform patient stratification and enrichment strategies,0
Responsible for ensuring quality services are delivered for particular task(s) and is seen as the task leader,2
"Implement the requisite components of a complex and mission-critical communications platform using core Java, Kafka, Kubernetes, AWS and related technologies",2
"Utilize Freshservice, Jira, Bitbucket and other E-Tools for planning and execution",2
"Assist in the design, architecture, and implementation of new systems",2
"Provide analytical support and guidance, through database querying, third-party vendor reporting and external partner reports, across the enterprise",0
"Work closely with Marketing, Agency Administrator and Clinical Management to ensure that the demand for clinical care is aligned with our capacity and at no time compromises the Agency ability to provide the best quality care for our patients",3
Analyze failures and fix bugs.,2
Assemble the tools and platform for the creation of our next-generation interconnect IP elements.,2
Develop custom web application and device testing.,2
"Document requirements, use cases, and designs.",2
Worked in an Agile/Scrum development process environment.,2
"Actively develops and maintains job knowledge as a subject matter expert via review of the medical literature, attendance at professional meetings and/or other educational venues. Applies significant clinical experience and subject matter expertise towards evaluation and judgment of complex evidence as it relates to clinical decision support needs. Actively develops and maintains clinical expertise with the express purpose of translating this expertise into improving or creating drug content. Continually develops and refines writing and database skills",3
"Determining operational feasibility by evaluating analysis, problem definition, requirements, solution development and proposed solutions",2
"Work with developers and architects to translate prototypes into new products, services, and feature, and provide guidelines for large scale implementation.",0
"Designing, building, installing, configuring and supporting production deployments",2
"Use various methods to ensure the quality of your code: writing unit tests, performing code inspections with your peers, integration testing, performance testing and assisting QA.",2
"Proactively interact with key client management to gather information, resolve problems, and make recommendations for improvements and cyber risk reduction.",3
"Setup, deploy, and perform system administration on Windows servers.",2
"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models",1
"Identify and recommend where increased automation, performance enhancements, application enhancements and quality enhancements may be incorporated.",2
Communicate with internal and external clients to elicit requirements,2
"Work with the team to close the loop between the analysis/planning and the results data, enabling agile optimization of campaigns.",0
To qualify prospects while introducing the solution and determine technical and,3
Work with large public data sets to cleanse data and perform analysis against internal well performance data,0
Keep up to date with latest technology trends in machine and deep learning and quickly learn about new frameworks/techniques to be used in projects delivery,0
"Generate software requirements documents, design specifications, and software test protocols.",2
Provide operational support by fixing production issues and embracing continuous delivery,2
"Perform testing (unit, independent, system and performance).",2
"Strong knowledge of operating system architecture such as memory management, IPC, scheduling, task switching, concurrent memory access, event driven programming.",2
Feedback: To provide respectful yet honest feedback to leadership about how to better achieve the software development goals.,2
"End to end execution of the payer research projects; understanding clients need, designing the questionnaire, selecting and suggesting payer archetypes which fits best for the clients need, analyse the payer responses, and develop deliverables including strategic insights and recommendations.",3
"Test, Train and Validate models developed in Python or R",0
Provide Tier-2 support to users of technology with a focus on delivering superb customer service; maintain help desk ticketing system and mentor other team members to support network infrastructure.,2
Foresees capacity requirements for component usage and identifies limitations.,2
Design subsystems to support software reuse and domain analyses and manage implementation,2
"Contributing to the functional and technical design, prototyping, and process design stages of implementations (including scenario design, flow mapping).",3
"Develop and direct software testing and validation, programming and documentation.",2
"Develop structured, documented, version controlled code that enables automation and post-roll out customer self-service",0
Use depth of experience and maturity to work independently without direct guidance in day-to-day activities,2
Mentor junior software engineers and help refine their software development skill sets,2
"Participate in the maintenance of a repository of all internal testing, compliance reporting and evidence for the Program. Post all required and relevant evidence to the QSA portal for assessment.",3
"Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.",0
Directly participate throughout the entire design process,1
Design and develop complex software using a variety of programming and scripting languages.,2
"Architect, document, develop, code, and test data science modules into scalable solutions in a big data environment.",0
"Continually learn new analytical skills, techniques and tools to maximise competitive advantage; participate in internal & external technology communities",0
This role is to facilitate the advancement of modern analytical techniques across the organizations,0
"Provide in-depth enterprise infrastructure/cloud modernization expertise to support the technical relationship with our customers, including product and solution briefings, proof-of-concept work, and partner directly with product management to prioritize solutions impacting customer adoption to our product.",2
"The primary focus of this position will be spent working on new development, maintenance, and support using SQLServer databases, ASP.NET web applications, and custom automation software",2
"Build a broad technical expertise and practical experience within different ChromeOS and Chrome Browser products, services, and features across critical enterprise solution categories, such as Identity, Management, Security, Networking, and Application (Cloud and Virtualization) solutions.",2
"Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs.",2
Online transactional databases.,2
"Working alongside machine learning experts, technologists, product managers and other informatics analysts to solve complex business problems.",0
Solicit technical requirements from customers and facilitate all pre-contract design discussions.,2
Work alongside the Engineering and DevOps teams in an Agile environment to support our CI pipelines with security best practices as well as ensuring perimeter security of applications,2
Support the qualification process of embedded software components and systems,2
"Provide technical guidance and mentorship to junior team members on analytics and analysis best practices, solution design as well as lead code/design reviews",0
Learning an entities risk profile and control environment and the impact on internal audits scope and planning,3
Research competitive technologies in order to develop alternative technical solutions,2
Optimize joint development efforts through appropriate database use and project design.,0
Provide recommendations for containment and eradication of threats.,0
"Debug and commission programs on the shop floor, and get the machine ready for SAT.",2
"Develop mathematical models for ships and sub-systems, including aerodynamic, hydrodynamic, mechanical, actuators and sensors.",2
"Participates in the testing process through test review and analysis, test witnessing and certification of software",2
"Ability to communicate using professional PowerPoint slides, backed up by rigorous factual details including operational pain points, efficiency levers and impacts to customers, employees and shareholders",0
"Communicating with clients, internal and external, to understand the business problems that we can solve using machine learning and AI",0
"Assists in establishing requirements, methods, and procedures.",2
Provide detailed remediation guidance for findings,3
"Create clear and concise documentation for all the work performed, including architecture and design documents, code comments, technical notes, READMEs, bug fixes, root cause analysis, etc.",2
Apply best practices and standard operating procedures.,1
Develops and maintains code and integrates software components into a fully functional software system.,2
Lead design of major software components and features.,2
Inform the Master when there is any doubt about the quality of the potable water,2
"Perform data analysis to identify algorithms technical limitations or defects, document findings and suggest solutions",0
Provide technical assistance and data analysis support for other M&V engineers.,2
Notifies possible resident of application approval or disapproval. Assists qualified residents with completing lease agreement and collects initial rent and deposit payments. Assists new residents with the move-in process.,3
Operate and contribute to our monitoring and alerting stacks:,2
Act as a trusted technical advisor to customers and solve complex Big Data challenges.,2
Analyze the quality and calibration of predictive models.,1
Be the SQL/Python/Spark/EMR/Snowflake expert on the team and help with data wrangling,1
Authoring and presenting design documents for various software and AI projects,1
"Duties include software requirements analysis, development of software products and software tools used for design, development and maintenance of infrastructure, and platforms.",2
"Responsible for the help desk, incident response, and change management systems for internal Tier 2 and above customers.",2
Gather insights about workflows and behavior patterns from qualitative research that will better inform usability data models.,0
"Perform job site analysis, determine employee exposure, and recommend safe work procedures",3
Champion and implement advanced software development practices;,2
Effectively presenting conclusions in both written and verbal form to Practice Leadership and our clients' senior management with the risk perspective of our clients' audit committees.,3
Develop and provide guidance on implementation best practices,3
build interactive dashboards that showcase relevant metrics,0
Develop in-depth knowledge of the service catalog and how it relates to customer needs.,3
"Assist in ongoing troubleshooting, maintenance and production support of existing application programs",2
"Write specifications, test plans, special test software/scripts for system verification and validation",2
"Reporting network operational status by gathering, prioritizing information, managing projects",2
Translate technical questions into actionable experimental designs to test hypotheses.,0
Build common platforms and applications,0
"Consult with customers or other departments on project status, proposals, and technical issues such as software system design and maintenance; prepare reports and correspondence concerning project specifications, activities, and status.",2
"Report to the Sales Managers regarding objectives, planned activities, reviews and analytics.",3
Troubleshoot customer or factory technical problems ranging from the basic to the complex,2
Work independently as a contributing member of a small software development team,2
Identification of new project risks and maintaining the project risk log in Clarity for assessment and resolution,3
Working closely with developers to create test specifications/conditions and build test cases to rigorously test product functionality and investigate all potential product test failures,2
"Be proactive, self-motivated and attentive to detail when solving highly complex level of escalated problems",2
"Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.",2
"Develop, implement and maintain unit tests",2
Autonomously identify business risks and opportunities and create strategic or tactical recommendations using data-driven analysis,0
Help us build the processes and tools we need to take things to the next level.,2
"Work hands-on with the software build, deployment and final configuration for various hardware platforms",2
Assess our client security system vulnerabilities and recommend how they can become security compliant using our technology and services,2
"Design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design",2
"Work closely with multiple product and engineering teams to find ways to improve the product, and interact with our Site Reliability Engineering (SRE) teams to drive high-quality production.",2
"Perform end to end testing of all Transit Systems Software and Hardware (Ticket Vending Machine, Ticket Office Machine, Validation Systems, Web and Mobile)",2
Participate in code reviews to ensure code quality and share best practices and experiences with the team,1
"Lead and assist cross-functional teams in the selection of appropriate analytical methods, design of experiments and analytics, verification of data quality and information integrity, interpreting results, documenting processes and assumptions, and suitable presentation method.",0
"Demonstrate proficiency and deep knowledge in statistical machine learning methods, deep neural networks",1
Listen to needs of technical and business stakeholders and interpret them.,0
"Design, develop, document and deliver reports of moderate complexity for Tyler Clients using Microsoft Visual Studio and Microsoft SSRS.",2
"Improving operations by conducting systems analysis, recommending changes in policies and procedures, updating job knowledge by studying state-of-the-art development tools programming techniques, and computing equipment, participating in educational activities, etc.",2
"Develop, implement and maintain unit tests of programs.",2
"Ensuring high quality, maintainable, tested code base",1
"Research and develop analyses and forecasting and optimization methods across ads quality, search quality, end-user behavioral modeling, and live experiments.",0
"Manage customer relationships and perform RFP Review, Customer Visits and Product Testing.",2
Collaborate with other technology teams and architects to define and develop solutions.,1
Analytical skills & software development skills,2
Responsible for refusing unsafe work and for carrying out all work in accordance with the established safety standards and work practices.,2
"Developing, managing and/or maintaining controls software for production machines and processes specific to customer requirements.",2
Designs and develops our architecture requirements and specifications to ensure the system is meeting corporate needs.,3
Identify data patterns and trends.,0
Present changes to existing metadata repositories,0
"Actively participate on an Agile scrum team, sizing work efforts and decomposing functionality and iteratively delivering value.",2
Work collaboratively with Geoscientists in applying developed algorithms to solve challenging and high impact problems within the exploration and production domains,0
"Design, develop, and apply algorithms to help solve business and technical issues",0
"Serves as key resource and Subject Matter Expert (SME) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation.",0
Develop Google Cloud Platform code to support development of healthcare specific AI models.,1
Coordinates collection of operation and maintenance manual information for distribution to project Coordinator for assembly,2
"Assist in assessments of client network environments, identify gaps and performance improvement opportunities based on leading industry practices",3
Ensure functionality of system and fix issues,2
Demonstrated expertise in creating component and assembly drawings that utilize traditional tolerancing and Geometric Dimensioning and Tolerancing (GD&T) as appropriate.,2
"Market Knowledge: Ensures our marketing and communication channels are modern and up-to-date, capable of efficiently delivering world-class communications to all customer types, and ensuring that vendor partners are delivering as needed.",3
Partner with management and business units on innovative ways to successfully utilize data and related tools to advance business objectives and develop new products and services,0
"Oversee projects completely, from requirements document to delivery",2
Employ data and analytics to measure the impact of your solutions.,2
"Develop, implement, and use a broad set of machine-learning models and quantitative techniques for prediction and classification for mission critical applications",0
Collaborate with business stakeholders and product management departments to understand company needs and devise possible solutions.,0
"Implement code that follows established standards and demonstrates a basic understanding of services, and data warehousing",2
Participates in special projects and performs other duties as required.,3
Participate in and conduct code reviews,2
Assess the effectiveness and accuracy of new data sources and data gathering techniques.,1
Collaboration: Work with your peers within your team and outside your team to help develop these solutions. Work with leaders at customer locations to help advise them on how best to achieve their DevOps goals.,2
Works with off shore development teams. Acts as a technical resource for junior team members,2
Build and improve the machine learning models for ads targeting,1
Leads Conceptual and Detailed Design sessions to identify a client Master Data Management requirements,3
Participate in developing a greenfield electronic execution platform for one of the top fiat-crypto exchanges,2
"Experience in designing and developing programmable management interfaces using gNMI, NETCONF, etc.",2
Coordinate technical testing as system acceptance testing,3
Use of COTS/GOTS in place of new development,2
"Develop and deliver communication & education plans on analytic data engineering capabilities, standards, and processes",1
Understand the software development (SW) and testing life cycle as defined by,2
Participate in cutting edge research in artificial intelligence and machine learning applications.,1
Work within the team to prepare estimates and Level of Effort for tasked projects.,3
"Collaborates with Product Management, Development, and Research teams in the creation and implementation of machine learning algorithms and statistical models.",0
Provide technical guidance to internal & external team members,2
Perform unit testing to ensure the quality of code produced,2
Facilitates issues resolution in collaboration with IT and Client operational areas. Provides direction and/or oversees any corrective action performed by other IS departments,3
"Customer technical interface including understanding of requirements, feature milestones, and problem solving",2
"Work on challenging distributed system problems, such as recovery, consensus, load balancing, etc.",2
Develop and maintain code and integrate into a fully functional software system.,2
Test project-specific configuration against project-specific simulations.,2
Design and develop code from requirement specifications,2
Executes full product life-cycle (inception through deprecation) to create highly scalable and flexible RESTful APIs to enable an infinite number of digital products.,2
Select ML models for defined use cases. Implement KPIs to ensure optimal algorithms and results,0
"Develops, documents and maintains architectures, requirements, algorithms, interfaces and designs for software systems",2
"Act as the customer point of contact for all project issues, with responsibility for managing customer satisfaction.",2
"An innate sense of curiosity that leads to the creation of new ideas, with the ability to drive work to a recommendation or conclusion",2
Create full documentation around each solution that is delivered into production,0
"Support Sales Team in all client technical RFP/RFI responses, sales calls, onsite meetings and demonstrations.",2
Work to ensure the implementation of safety and integrity principles in structural documentation,2
Integrating with a diverse team to deliver in an agile-like manner,1
Data scientists use data and analytical ability to find and interpret rich data sources.,0
Maintain required certifications mandated by the regulations and take an active role in maintaining respiratory fitness through Chubb Global Risk Advisors' medical surveillance program.,3
Provide rotational on call support for all global regions,2
"Be able to conduct software development activities using C++/C#, Managed C++, MFC, ATL, COM, .NET in Windows 32/64 bit environment",2
Unit Testing and Validation - Ensures developed code meets the technical and functional specifications.,2
