description,id,jobflag
Generalizing solutions and innovating to create the next generation of product features,,1
Communicate and present complex analyses and models to all levels of leadership across the organization.,,1
"Develop machine learning, data mining, statistical, and graph-based algorithms designed to analyze massive data sets; partner with Cloud technologists to ensure proper implementation and usage of said algorithms.",,1
"Present data-driven, informed, and results-based conclusions and recommendations to both internal and external leadership, college, department, and/or project teams, for both technical and non-technical audiences.",,1
Be able to work independently as part of a multi-disciplinary team to support the ATOM consortium scientific and technical goals,,1
"Develop partnerships with internal stakeholders to identify robust and efficient methods to conduct epidemiology and value evidence generation studies using real-world healthcare data and/or clinical trial data (i.e., Indirect treatment comparisons, meta-analysis, Network Meta-Analyses, post hoc analysis of clinical trial data etc.).",,1
Is committed to building a workplace where every employee is welcomed and given the support and resources to perform their jobs successfully.,,1
Work with data-sets of varying degrees of size and complexity including both structured and unstructured data.,,1
Investigate for trend/challenge in data mining and machine learning area,,1
"Identify and leverage opportunities to continually improve data quality, systems, processes, and standards.",,1
"Deliver presentations to internal clients and researcher team mates that communicate a logical, compelling and cohesive stories using data",,1
Collaborate and brainstorm with business teams to understand objectives and create a modelling agenda to support and realize strategic business objectives.,,1
designing and prototyping algorithms on industrial data,,1
Independently convert business management questions into analyzable problems with solutions.,,1
Explore novel ways to refine and streamline routine analytics through the development and application of robust approaches.,,1
"Produce clear, understandable visualizations, dashboard and reports to share with Senior Leadership and business partners, provide the insightful story from the data perspective to risk policy owners.",,1
Possess a solid machine-learning foundation,,1
Lead governance of project pipeline and prioritization.,,1
Conduct end-to-end Causal & Predictive analysis of large scale healthcare data sets.,,1
Communicate the findings to peers and executives through effective data visualizations techniques.,,1
Work with appropriate stakeholders to identify and scope promising applications of machine learning,,1
"Ensure high quality, rigorous and readily interpretable deliverables are generated from RWE studies/analyses",,1
Drive improvements in business outcomes by testing new and different strategies through systematic planning and execution of experiments,,1
"Apply machine learning, collaborative filtering, NLP, and deep learning methods to massive data sets.",,1
"Be a champion for the company's analytics efforts both inside and outside of the organization, promoting collaboration and communication through business unit driven use cases whilst building the company's brand in the analytics space.",,1
"Work with proven open source tools, rather than bespoke custom implementations.",,1
Assist with the evaluation of data analytic vendors and tools.,,1
Present information using data visualization techniques,,1
Architect the next generation analytical platform.,,1
"Manage an effective R&D and innovation pipeline leveraging customer insights, disparate data sources, and advanced analytical techniques.",,1
"Focus on image/video analytics, edge computing projects by applying techniques in machine learning, deep learning, and statistical algorithms",,1
Work closely with the software engineering team to productize analytic software.,,1
Develop functional means for measuring the quality of healthcare members receive annually.,,1
Responsible for advancing all Big Data efforts.,,1
Conduct end-to-end Visualization analysis of large scale healthcare data sets,,1
"Apply simple and complex statistical theories and methods to explore, infer and predict;",,1
Strategize in collaboration with finance teams to identify data-driven solutions to ongoing needs across the organization.,,1
"Recommendation algorithms/IR: Understand IR or ML really well can explain MF, latent, KNN, Community cluster",,1
"Research, prototype and develop innovative algorithms and solutions for real-time object detection, instance segregation and object tracking.",,1
"Analyze, interpret & clearly communicate the results of experiments to the business units",,1
Develop and evaluate the performance of predictive statistical models and machine learning algorithms,,1
"Applies analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis, and data mining.",,1
Perform automated data labeling to train AI models,,1
"The Data Scientist will have a strong interface with biosensor and engineering teams, as well as Clinical, Quality and Regulatory as needed to support bench-top, preclinical and clinical data analysis. Ensure the type and quality of data.",,1
Implement predictive modeling to create actionable outcomes,,1
"Define, create, and improve metrics and dashboards that precisely and accurately measure the pulse of the business",,1
Provide input on the data architecture and be a contributor to the data governance framework for ViiV,,1
"Collaboratively work with engineers, software developers, subject matter experts, and business representatives",,1
Lead digitization efforts to automate routine playbooks and always be on the lookout for opportunities for automation.,,1
"Work with data engineers to retrieve, clean and normalize data. Ensure scalable and continuous high-quality data stream",,1
"Perform deep dive and advanced data analysis using data science, machine learning concepts and statistical methodologies by leveraging programming languages such as R, Python and AutoML tools such as Datarobot.",,1
Examples of work include conducting Natural Language Processing or Sentiment Analyses on unstructured data sets,,1
"Develop and implement statistical, machine learning, and heuristic techniques to create descriptive, predictive, and prescriptive analytics",,1
Compare results from various methodologies and recommend best techniques to stake holders.,,1
"Knows how to use agreed standards and tools to design, code, test, correct and document moderate-to-complex programs and scripts from agreed specifications and subsequent iterations",,1
Defining rough technology and system requirement to solve the problems,,1
Incorporate SME input into feature vectors suitable for analytic development and testing,,1
Build decision engine applications that simulate supply chain activities and select the path of highest profitability,,1
Must be highly responsive and able to produce clinical content very quickly,,1
Create thoughtful solutions that engage and empower members to make more informed decisions about their health,,1
Build complex advanced-level machine learning and advanced     analytics models.,,1
Produce daily metrics and reports,,1
Build Novartis image analytics center of excellence to make it a team of international reputation,,1
"Will create business intelligence, dashboards, visualizations, and/or other advanced analytics reports to adequately tell the business narrative and offer recommendations that are practiced, actionable, and have a material impact, in addition to being well-supported by analytical models and data.",,1
Partner in development of scalable solutions using large datasets with other data scientists on the team,,1
Creating a Data Quality Index to assess the quality of external datasets.,,1
"Leverage the optimum machine learning techniques for predictions in various Business Units such as Procurement, Sales, Marketing, Operations, etc. to enhance revenue and reduce costs.",,1
"Work closely with software engineers and architects to extract, transform and standardize data for optimal use for analytic tools",,1
Assess the effectiveness and accuracy of new data sources and data gathering techniques,,1
Collaborate with the digital and DSAI teams,,1
Build dashboards highlighting the key trends of the data.,,1
Support ad hoc analysis requests,,1
Deriving technical parameters and specifications from measured data,,1
"Researching, rating and implementing development tools",,1
Establish and maintain data dictionary,,1
Identify the most appropriate algorithm for a given data set and tune input and model parameters,,1
"Establish a universal standard, process, and repository of predictive and machine learning models to support team documentation and organizational sharing.",,1
Setup of dashboards and recurring reports that provide useful ongoing updates to all businesses,,1
"Partner with internal data scientists, developers, and tech teams to develop new methodologies and utilities",,1
Use complex algorithms to develop systems & applications that deliver business functions or architectural components.,,1
"Conduct exploratory data analysis, data munging / cleaning, and create informative visualizations",,1
Interacting with customers to understand and pose relevant data analysis problems.,,1
Executes statistical and mathematical analyses to support business decision making.,,1
"Data exploration and model building targeting given CTQs (ex: field issue investigations, developing tracking filters, inspections, root cause analysis, etc.)",,1
"Design, build, deploy, and support scalable statistical and machine learning models",,1
Develop multiple custom data models to drive innovative business solutions.,,1
"Build data into everything - and analyze it to find efficiencies, make automatons, and predict outcomes.",,1
"Develop and Deploy advanced Machine Learning, Reinforcement learning and Deep Learning Models/algorithms to enhance existing business processes with predictive and intelligent decision making.",,1
Develops materials to explain project findings.,,1
"Evolve skills, solutions, and the organization to predictive & prescriptive analytics",,1
Presenting results to management executives.,,1
"Represent DMA as a subject matter expert on real world data, its use incl. study methodologies and capabilities.",,1
Characterize aspects of our ML system and recommend ways it can be improved,,1
"Problem solve with practice leaders to translate the business program into a solvable Data Science problem, formulate different approaches, outline pros and cons for each approach",,1
Inputs into the data quality and integrity review strategy for the study.,,1
Support the incorporation of RWE methods and perspectives into global development strategies,,1
"Sourcing, cleansing, structuring and ingesting new data sources",,1
Develop experiments to collect data or models to simulate data when required data are unavailable,,1
Conduct exploratory data analysis,,1
Write automated tests for Python code.,,1
Take ownership of data models and solutions by communicating and advocating their use to the Head of People Analytics;,,1
"Innovate and recommend advanced predictive analytics, computational science, Natural Language Processing (NLP), machine learning and deep learning techniques to answer research questions and synthesize insights that achieve business objectives.",,1
"Utilize various resources to obtain regional, industry, product, cost, or competitive market information in order to create trending and analysis. Utilize internal data and database information to create trending and analysis reports.",,1
"Build tools and support structures needed to analyze data, perform elements of data cleaning, feature selection and feature engineering and organize experiments in conjunction with best practices.",,1
Develop and manage KPIs and present channel/vertical/LOB performance to leadership,,1
"At client, the Data and Analytics organization is focused on unlocking the value of client's data to support the company's Wildfire Safety Program.",,1
Articulate business opportunities using mathematical techniques to arrive at an answer using available data for modeling.,,1
Maintain clinical content over time as software changes and clinical medicine changes,,1
Collaborate with external clients and internal departments to understand company needs and devise possible solutions leveraging the power of Machine Learning.,,1
"Parse, standardize, and analyze large volumes of data",,1
"Work closely with wet- and dry-lab collaborators to design, analyze, and interpret high-dimensional datasets such as pooled library NGS screening, single cell RNAseq, and proteomics.",,1
Work with key stakeholders and understand their needs to develop advanced solutions or improve existing solutions around data and analytics.,,1
"Design, Implement, and Support Business Intelligence reporting using advanced data visualization and analytics tools, with a specific focus in Tableau.",,1
Works with the Lead Clinical Data manager to plan and deliver the data quality and integrity reviews to meet overall data cuts/database locks.,,1
Designing and applying (machine learning) algorithms for extraction of information from data of any kind,,1
Improve literacy in the value and use of data and advanced analytics across the organization by leading successful implementation of data and analytics initiatives across regions and countries,,1
"Identify appropriate algorithms to discover patterns, optimize user experience,",,1
Possess a proven ability to drive business results with their data-based insights and be comfortable working with a wide range of stakeholders and functional teams.,,1
"Stay up to date with tech, prototype with and learn new technologies, proactive in technology communities",,1
ability to work independently with minimal supervision,,1
"Understand new data sources and process pipelines, and catalog/document them",,1
Keep up to date with latest technology trends,,1
"Actively participate and able to project manage in all stages of model development from data collection, data quality control, model building, model validation, testing and calibration.",,1
Train other business and IT staff on basic data science principles and techniques,,1
"Identify opportunities to apply Machine Learning and Artificial Intelligence to build, test, and validate predictive models.",,1
Must be able to work within a high regulated environment and write appropriate documentation.,,1
Communicate results and ideas to key decision makers.,,1
Partner with other operational areas to identify opportunities     for new projects.,,1
Display drive and curiosity to understand the business process to its core,,1
"May propose, evaluate and implement process improvements to     increase efficiency and effectiveness.",,1
"Designing new methodologies, pulling necessary data, building statistical and machine-learned models with accuracy, and analyzing experiments, applying critical thinking throughout.",,1
brief dashboard to stakeholders and train new users,,1
"Maintains academic and industry relationships for the purposes of research; Maintains expertise and awareness of cutting edge techniques, technologies and potential business solutions.",,1
"We use regression, Bayesian methods, tree-based learners, SVM, RF, XGBOOST, time series modelling, dimensionality reduction, SEM, GLM, GLMM, clustering etc on a regular basis.",,1
Definition of algorithm test procedures,,1
Collaborate with software development to implement and deploy newly developed technologies and algorithms,,1
"Basic data engineering, involving developing simple ETL jobs or deploying services on EC2 instances or docker containers",,1
"Build high-quality prediction systems that solve our customers' business problems by applying data mining and machine learning techniques; doing statistical analysis; and exploring, interpreting, and analyzing datasets for patterns of interest",,1
"Perform data manipulation, wrangling, cleansing and analysis;",,1
Better leverage of various types of data,,1
Collaborate with engineering team developing next generation data analytics platforms  for both commercial and military applications.,,1
"Foster an environment of learning and collaboration within an analytics community of practice, sharing knowledge from previous projects, conferences, courses, etc. and applying knowledge from the experiences of others.",,1
Coordinate with teams and vendors to ensure accurate data collection,,1
Build and maintain ETL pipelines in Apache Airflow,,1
"Build scripts to automate, clean, transform, cross-reference and merge large sources of data utilizing Python",,1
Limited travel to healthcare sites will be required,,1
elicit dashboard requirements from customer,,1
"Work with large scale dataset which includes transactional, click-stream, and telematics data",,1
Support the development of strategies that align to the long-term goals and visions of Teradata,,1
Write production code to produce data infrastructure and automation of tasks,,1
"Develop, analyze, and model operational, economic, management, accounting, or other organizational data to quantify and predict the competitive performance of our Lines of Businesses.",,1
"Communicate complex machine learning ideas, designs, and processes to both technical and non-technical stakeholders.",,1
Monitor and resolve performance issues specific to dashboard development and delivery.,,1
"Create and interpret strategic and operational analyses, assess options objectively, and present conclusions and recommendations to all levels of management",,1
Apply Machine Learning and Artificial Intelligence expertise to build prototypes and translate them into product features.,,1
"Some of the products that are being delivered include Remote Inspections, AI Enabled Inspections, Vegetation Management through LiDAR capabilities, Transmission Line Asset Data Foundation, Electric Distribution Asset Data Foundation, Asset Risk Modeling, and a Cloud Native Foundational Platform.",,1
Solidify existing algorithms working with combination of various subsurface data,,1
"Coordination with Business Intelligence data engineers, developers, analysts, and architects to ensure integration of functionality and toolsets.",,1
Build mathematical models using the data.,,1
Collaborate with data analytics team to define new platform requirements and continuously improve our horizontally scalable data lake,,1
"Create, update, and troubleshoot visual analytic templates",,1
"Lead ad-hoc analysis to understand unanticipated metric movements or forecasting variance and communicate results to other data scientists, finance analysts and senior leadership",,1
"Conduct threat actor based investigations, identify/detect actor methodologies, and provided expert support to incident response and monitoring functions.",,1
Provide analytic support to the data science team.,,1
Manage the full life cycle of model builds.,,1
Working with different business organizations across the company to understand their needs and help identify new opportunities.,,1
Working with Software Engineers and SaaS Operations to package and deploy the models,,1
"Conceptualize, design and deliver high-quality solutions and insightful analysis",,1
Develop and apply algorithms. Analyze complex unstructured data sets to recommendations and implement solutions.,,1
"Develop algorithms to aid doctors in medical diagnosis using tools that may include statistics, decision support systems, and image processing",,1
"Deliver informative and effective findings, results and recommendations from statistical analysis to stakeholders (able to articulate the findings clearly to both technical and non-technical audiences)",,1
Help develop standard operation practices and support the Operations Teams through UAT and after go-live,,1
"Work in a high-performing team to identify new revenue opportunities and extract interesting insights (patterns, correlations, etc.) from large data sets using dashboards, visualizations, and other reporting solutions including SAP Business Objects, Google BigQuery, Tableau, or other tools",,1
"Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,",,1
Recommend ongoing improvements / tuning to methods and algorithms currently in use/production,,1
Reduction of cycle times and improvement of the precision for subsurface interpretations,,1
"Configure and tune alerting systems to help understand anomalies, outages and performance issues in video operations",,1
Create new JDBC data connectors,,1
Clean and prune data to discard irrelevant information,,1
Process/manipulate geospatial data and provide recommendations to provide additional utility beyond manual exploitation,,1
Assist in the creation and review of specification documents,,1
"Analyze and verify software application performance through data analysis, simulation, and measurement",,1
Pro-actively determine best methods to gather new and existing data to solve complex problems,,1
Initiating and maintaining a data catalog for each business unit,,1
"Ensure quality deliverables within timeline, working under a project plan and design",,1
"Prepare presentations and technical reports to illustrate and explain analyses, tools, applications and findings.",,1
Perform exploratory data analysis for discovering insights;,,1
Conduct data analysis exploration to uncover insights and trends.,,1
Assess the effectiveness and accuracy of current and new data sources and data gathering techniques. Create processes and tools to monitor and analyze model performance and data accuracy. Develop company A/B testing frameworks and test model quality.,,1
"Collaborate on shared software code by adhering to good software development practices, version control, and rapid iteration",,1
"Independently and collaboratively explore, develop and deliver solutions to meet the business needs. Undertake data collection, processing and analysis.",,1
Perform QA analysis on solutions developed by other statisticians,,1
Distill loose ideas into valuable data products,,1
"Verify that the Python version of the SAS code is equivalent to the SAS version. This involves running both processes, comparing the output, and resolving any differences.",,1
"Work directly with the business to understand their questions, business processes, programs and/or initiatives, then identify how analytical solutions could help deliver value for them.",,1
Manufacturing Analytics for Predictive and prescriptive analysis.,,1
Communicate potential data quality and data integrity observations and potential issues effectively with key stakeholders.,,1
Document technical data generated by the assigned project consistent with engineering policies and procedures,,1
Take a hands-on role and coach data science teams to deliver on highly visible multiple projects.,,1
Build APIs and other ETL processes to support the AI/ML models,,1
Work and collaborate with other teams to deliver and create value for clients,,1
"Exercises judgment in selecting optimal AI/ML methods, techniques and evaluation criteria for obtaining results",,1
Provides high-level controllership/evaluation of all output produced to ensure established targets are met.,,1
Research new techniques and best practices within the industry.,,1
"Work with stakeholders/sponsors throughout the organization to identify opportunities for leveraging company data to drive business solutions. Stakeholders include: creation, consumer insights, commercial, R&D and category",,1
Influence operational deployment of data science insights.,,1
"Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.",,1
"Assist with the design testing, and execution of strategic pilots to measure and verify the validity of the analysis and subsequent recommendations.",,1
Build end-to-end production level Machine Learning/AI solutions,,1
"Doing Data Modelling and scripting through SQL, R and Python.",,1
Savviness with python/gurobi framework,,1
Work closely with translational research experts to help GNF scientists build data sets that address the relevance of their novel cancer therapeutic targets to human disease.,,1
Experience with advanced techniques in non-linear dimensionality reduction and/or manifold learning to leverage large amounts of enrichment data for feature extraction,,1
UAT of the data visualization tools prior to production release.,,1
"Research new technologies and methods across data science, data engineering, and data visualization to improve the technical capabilities of the team.",,1
Evaluate various algorithmic approaches in information extraction,,1
Committed to delivering high quality work to QA,,1
Create and update security operations processes and procedures as necessary.,,1
Oversee the development of individual analytic efforts and guide team in analytic development process,,1
Apply statistical analysis and visualization techniques to various data,,1
Assess the effectiveness and accuracy of new data sources and data gathering techniques.,,1
Assess issues / generate solutions in data handling created by the changing requirements in clinical data. Assist in User Acceptance testing.,,1
Create thoughtful solutions that engage and empower members to make more informed decisions about their health and healthcare,,1
Managing data science related projects for some of the most iconic businesses in the world.,,1
"Deep dive into data through systematic and ad hoc analyses and build machine learning models to score the identity, behavior, threat and other risk characteristics of the various entities.",,1
Perform data and error analysis to improve models.,,1
"Post production of the Clinical Study Database; undertake a review and analysis of the clinical data to identify potential issues with key Data Management deliverables: potential issues with eCRF form design, confusing data collection instructions or missing/incorrect edit checks that are leading to inaccurate collection of data.",,1
Work independently and possesses exceptional technical ability.,,1
An ideal candidate will have a passion for discovering insight hidden in large data sets and working with stakeholders to improve business outcomes.,,1
Development of fundamental statistical techniques and applications to bring additional insights from data,,1
Develop algorithms to automate dynamic model retraining to keep us operating at peak performance,,1
Generate business impact by creating new business intelligence and analytics,,1
Collaborate with cross-functional partners across the business.,,1
"Effectively explain technical concepts at all levels in the organization, including senior managers/stakeholders.",,1
"Providing technical subject matter expertise in OSS and Microsoft big data technologies, to support architecture design sessions, and unblock critical scenarios for our partners.",,1
Visit of national and international conferences on a regular basis,,1
"Interpret, understand and extract value and meaning out of MSF global HR data;",,1
"You'll closely work with product leaders, using data and strategies to measure and improve our search offerings through algorithms that improve search results, metric development and instrumentation, data investigations, designing and interpreting experiments, exploratory research, and influence evaluation.",,1
"Create and investigate hypotheses related to audience engagement, ratings, content performance and monetization.",,1
"Deliver on time with a high bar on quality of research, innovation and engineering",,1
"Communicating and visualising insights to multiple levels of stakeholders with clarity, informing decision-making.",,1
Support the effective usage of BI for existing business operations and the development of new business areas and opportunities,,1
Set strategy and vision and to drive development of the business data services it relates to commercial data in US Oncology,,1
"Identifies and diagnoses data inconsistencies and errors, forages to fill data gaps and blazes new data trails. Creates derived characteristics.",,1
"Promotes and supports company policies, procedures, mission, values, and standards of ethics and integrity",,1
Apply statistical techniques to the analysis of complex datasets.,,1
Apply knowledge of U.S. businesses and corporate groups and relevant industry knowledge to analysis and insights,,1
"Collaborate with Marketing in the design, implementation, and analysis of marketplace research",,1
Determine and apply the right analytics method for a given business problem.,,1
Help customers translate their data and problems in ways that our ML system can best solve them,,1
Information retrieval (with web scraping and parsing),,1
"Lead multiple projects and serve as project manager to identify issues, priorities, and goals",,1
"Processing, cleansing, and verifying the integrity of data used for analysis",,1
Leverage DevOps and Data Architecture teams to deploy your code at scale.,,1
"Define standards and processes to manage quality, consistency, usability, security, and availability of data throughout the data lifecycle",,1
"Consult on data science and advanced analytics projects outside of core team goals. This includes, but is not limited to, promotional sensitivity, email segmentation, and client forecasting.",,1
"Rapidly problem solves and resolve data and analytics issues for adherence as needed, working closely with the adherence Strategy and Operations program leads, data stewards, IT, PSS Analytics franchise leads, brand teams and external partners.",,1
"Demonstrate deep experience in manipulating data in a big data environment  experience of hive, SQL is a must.",,1
Work with stakeholders to understand how to integrate with and transform business processes.,,1
"Assist in interpreting, validating, and maintaining statistical models",,1
Combine data features to determine search models.,,1
Consult stakeholders about how advanced analytics and a data-driven approach can help them achieve greater success in driving their business units. Evangelize data science and the mission of the Advanced Analytics team. Generate and effectively communicate the stories data tell us for each Advanced Analytics initiative,,1
"Identify relevant data sources and sets to mine for client business needs (social media, CRM, POS, etc.).",,1
Enhance data creation procedures to include information that is relevant for building analytic systems,,1
Generate and present a detailed analysis report,,1
Build testing frameworks to constantly improve model iterations and compare the performance of models and communicate results with stakeholders,,1
Perform exploratory and targeted data analyses using descriptive statistics and other methods.,,1
"Developing supervised, unsupervised, and reinforcement models in the laboratory",,1
"Proactively assist in the management of several clients, while reporting to Managers and above",,1
Implement batch and real-time model scoring to drive actions.,,1
Perform information gathering and analysis for new business initiatives in order to design and develop impact scenarios.,,1
Document and communicate your work and outcomes to internal leadership team,,1
Partner with cross-functional teams to execute product roadmap and ensure data is always a forethought in decision-making,,1
Collaborate with data scientists/engineers/stewards on data extraction and data cleaning.,,1
Providing support for integration of algorithms in MVPs (Minimum Viable Products).,,1
"Provide input to the Systems Vaccinology scientific strategy, processes and objectives in alignment with the GSK Vaccines R&D strategy.",,1
"Utilize system tools including (MySQL, Hadoop, Weka, R, Matlab,ILog).",,1
Research new and advanced predictive modeling techniques as appropriate for a specific solution,,1
Collect and consult on the best ways to warehouse the myriad datasets across the organization using SQL and other databases,,1
Stay up to date with current Data Science techniques and identify new opportunities to leverage them for forecasting initiatives and Anomaly detection,,1
Support clinical design of software in a highly innovative and fast-paced environment,,1
Partner with product leaders and engineers to understand the product roadmap,,1
"Development of dashboards, calculations and reports which may require programming in Spotfire, SQL, and/or VBA.",,1
"Demonstrate rigor with code quality, best practices, and code review, while understanding product tradeoffs.",,1
"Provide sophisticated decision support to business leadership by creating and enhancing decision tools, models, presentations, and dashboards. Proactively interview SMEs to identify how data can help feature transformation, evaluation, and selection for new and existing products.",,1
Be a thought-leader at the company for analytic issues and assist with developing and guiding citizen data scientists throughout various business units.,,1
Coordinate with AI and Olfactometry teams at the Parent Company to align and prioritize with global strategy on data science and machine learning,,1
"Develop sophisticated advanced analytics models; including creating, validating, analyzing and explaining the data used for model development.",,1
"Implement and maintain batch process, applications and API",,1
"Work closely with the software engineering team, data engineers and business representative in the delivery of analytic software.",,1
Closely work with the product and engineering teams to ensure high impact products,,1
The data scientist will support the growing analytical needs of the company as data collection efforts expand and use cases are identified.,,1
Builds large and complex information sets; Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions.,,1
This role develops algorithms and analytical techniques to improve business performance.,,1
Develop models of current state in order to determine improvements needed.,,1
"Support data-centric projects and experiments across the company, as assigned.",,1
"Develop high-performance algorithms for predictive analytics. Testing and implementing these algorithms in scalable, product-ready code.",,1
Responsible for providing line of sight to data quality and gaps where issues need to be addressed.,,1
"Work in tandem with the Advanced Analytics team to develop distributed computing capabilities to handle large-scale data storage and computation, and deployment of such a platform for analytical purposes.",,1
"Pinpoint trends, correlations and patterns in complicated data sets",,1
Proactively perform data exploration on user behavior to discover future testing opportunities,,1
"Transform and process data sets to maximize accuracy, performance, and transparency.",,1
Optimize and automate current reporting systems/processes,,1
Build analytical solutions and models by manipulating large data sets and integrating diverse data sources.,,1
Ensure consistency of data sets,,1
"Research, actively experiment to stay abreast of the emerging ML and Cognitive Automation trends",,1
Work in an agile framework and communicate progress as necessary,,1
"Forming hypotheses, exploratory data analysis, generating insights and validating the hypothesis,",,1
"Defining business goals, KGIs, KPIs",,1
"Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity",,1
"Formulation of new modeling solutions to commercial clients across industries including but not limited to: banking and lending, rentals and leasing, telecommunications, transportation, manufacturing, utilities, hedge funds and other markets.",,1
"Help to build, document, and maintain best practices, including but not limited to codebase management, work and issue tracking, testing and quality control/assurance measures, data dictionaries, and a documentation hub for both production level code and ad hoc analyses.",,1
Advocator of predictive modeling and analytics throughout the corporation as a technical expert.,,1
"Partner and effectively communicate with Non-IT / Business users, functional counterparts and stakeholders to understand the underlying business problem, and work with the extended team to define and communicate the right technical solution",,1
Assist in design of data models,,1
"Use predictive modeling to increase and optimize stability and applications lab workload, social listening, consumer understanding, formulation for performance, etc.",,1
Engage with business stakeholders to present the analysis results and make sound recommendation,,1
Interacts with internal and external peers and/or managers to exchange semi-complex information related to assigned activities.,,1
Design and develop relational databases for collecting data,,1
Communicate data collection and statistical methodologies to both technical and nontechnical audiences,,1
Understand business challenges to develop and prepare customer target lists for CRM campaigns.,,1
Work with engineering teams to improve data collection procedures to ensure integrity of the data,,1
Work closely with development and QE team in productization,,1
Help build econometric models to drive operational excellence,,1
Optimize matching systems that connect homeowners and professionals,,1
"Identify, extract, and integrate data sets ranging in size from spreadsheets to big data; prepare and clean data for use in advanced analysis",,1
Develop highly accurate machine learning models to help improve in-product experiences and drive business growth,,1
"Serve as the subject matter expert to articulate areas such as strategic, business and data analytics & statistics, data science, big data, normalization and modeling",,1
"Create and maintain interactive visualizations through data interpretation and analysis, integrating various reporting components from multiple data sources",,1
"Consult and collaborate with research partners to inform, conduct, analyse, interpret and report studies using real world healthcare data.",,1
Explore and utilize prepackaged ML services where it makes sense,,1
"Undertake data-centric projects and experiments across the company by leveraging one of the most comprehensive databases of apartment operations on the planet, combined with strategically sourced data from third parties.",,1
"Collaborate with experts across campus to get an understanding of underlying business processes, strategies,",,1
Develop an understanding of Conversant personalization platform and proprietary datasets.,,1
"Embed with a business unit and lead the process of blueprinting, building, and iterating on applications and analyses to help solve your team's biggest problems.",,1
"Transform and process the data sets to maximize accuracy, performance, and ML transparency",,1
"Build and maintain QlikSense reports, dashboards, and metrics to monitor the performance of our products",,1
Collaborate with Software Engineers to streamline and optimize model building and deployment.,,1
Subsurface data quality control and fast visualization,,1
"This role develops and uses advanced software programs, algorithms, query techniques, model complex business problems, and automated processes to cleanse, integrate, and evaluate datasets.",,1
Make impactful contributions to internal discussions on emerging machine learning methodologies.,,1
Engage with users to understand needs an analytic strength/weakness of developed algorithms,,1
"Mine and analyze company data to drive optimization and improvement of business strategies, current and new products, and sales and marketing techniques. Understand and analyze large, complex, multi-dimensional data sets and build/enhance data science features relevant for unique business and data profiles.",,1
"Build and operate infrastructure, toolset, and deployment pipelines.",,1
"Believes in responsible growth and is dedicated to supporting our communities by connecting them to the lending, investing and giving them what they need to remain vibrant and vital.",,1
"Interprets and applies data in complex analyses, and explains findings to business audiences to improve products and processes.",,1
Bring a combination of mathematical rigor and innovative algorithm design to create recipes that extract relevant insights from billions of rows of data to meaningfully improve health outcomes.,,1
Apply advanced graph and machine-learning algorithms and advanced predictive modeling techniques to solve complex and challenging business problems.,,1
"Identify and/or evaluate new technologies and new procedures for integration into the DTCC data collection, management and analysis portfolio",,1
Work with clients to determine how to best marry and leverage data to produce confidence in decision-making,,1
"Research and develop algorithms for text analytics (word and document embedding, topic modeling, text classification) in high performance computing environment.",,1
Train algorithms to apply models to new data sets.,,1
Ability to connect business processes to extremely large datasets (over 500M records) and maintain acceptable process performance,,1
"Proactively collaborates with business partners to determine identified population segments and develop actionable plans to enable the identification of patterns related to quality, use, cost and other variables.",,1
"Contribute to visually-appealing, web-enabled prototype applications that illustrate relevant machine learning capabilities.",,1
Identify innovative uses of data and/or data technology,,1
"Analysis performed by the position will be shared within the company to support the various initiatives underway that have an analytical need which will ultimately impact the company's generation assets, load resources, customer view, and product and services offered to the customer.",,1
Works with cross-discipline teams to ensure connectivity between various data sources and business problems.,,1
Identify approaches to improve accuracy and effectiveness of existing analytical models.,,1
Work closely with business analysts and accountants to understand business requirements and develop technical solutions,,1
Report out on product/project status to senior management and clients.,,1
Build and fine tune algorithms that scale up from small-scale proof-of-concept stage to full production systems,,1
Partner with external agencies as needed,,1
Process / manipulate geospatial data and provide recommendations to provide additional utility beyond manual exploitation,,1
Collaborate with data engineers to produce analysis results in the fastest way possible to optimize data platform,,1
Write requirements for additional data collection via a mobile application,,1
"Collect, clean, process and analyze large, variable data sources",,1
Investigate for a trend / challenge in the field of data mining and machine learning,,1
Effectiveness of data analysis system reporting for business people,,1
Support the effective use of BI for existing business operations and the development of new business areas and opportunities,,1
Help customers translate their data and problems in ways that our ML system can solve them,,1
Present information using data visualization techniques,,1
Apply predictive modeling and machine learning techniques,,1
"Identify opportunities to apply machine learning and artificial intelligence to create, test, and validate predictive models.",,1
Recognizes the innovative uses of information and / or data technology,,1
Collaborate with Software Engineers to simplify and optimize model building and deployment.,,1
Designing new predictive models to be applied to data sets,,1
"Work with the company’s overall data, the company’s profit stakeholders to drive business results. Visualize, present, and explain data and recommendations to designators.",,1
Collect and consult best practices for warehousing Meridiad databases in an organization using SQL and other databases.,,1
